TID,ES,EN
play,Jugar,Play
settings,Configuración,Settings
credits,Créditos,Credits
gameover,Fin del juego,Game Over
play_again,Jugar de nuevo,Play again
back_to_home,Volver atras,Back to home
pause,Pausa,Pause
resume,Continuar,Resume
vamos,Vamos!,Let's Go!
tuto1,Llega al otro lado antes que tu oponente[.] ¡pero cuidado! no dejés caer tus baldes ni pinches ninguna burbuja.[]Prueba moverte sin dejar caer tus baldes.,Reach the other side before your opponent[.] but be careful! Don’t drop your buckets or pop any bubbles.[]Try moving without letting your buckets fall.
tuto2,También podés soplar las burbujas cercanas para que no te toquen.[]Prueba mover las burbujas cercanas.,You can also blow nearby bubbles to keep them from touching you.[]Try moving the nearby bubbles.
listo,Listo,Ready
shif,Shift derecho,Right shift
win1,Gana el jugadaor 1,Player 1 wins
win2,Gana el jugadaor 2,Player 2 wins
nombre_juego,Equilibruble Deathtomatcho,Equilibruble Deathtomatcho
